"","api_call_full","metric","run_time_sec","cpu_pct_mean","cpu_pct_p90","gpu_pct_mean","gpu_pct_p90","cpu_usage_mean","cpu_usage_p90","mem_process","mem_container_limit","mem_container_used","mem_container_avail","mem_system_total","mem_system_used","mem_system_avail"
"1","addPhotos_cpu","max",204,3,3,NA,NA,0.6,0.6,0.8,122.8,78.8,122.3,122.8,2.8,120.6
"2","addPhotos_cpu","mean",37.8571428571429,2.5,2.78571428571429,NA,NA,0.214285714285714,0.221428571428571,0.342857142857143,122.8,21.0785714285714,101.75,122.8,2.34285714285714,120.471428571429
"3","alignCameras_cpu","max",15723,82,100,NA,NA,26.3,31.9,17.4,122.8,18.7,122.6,122.8,19.5,120.6
"4","alignCameras_cpu","mean",2475.4,67.8,96.4,NA,NA,21.69,30.79,4.09,122.8,4.79,118.05,122.8,6.08,116.76
"5","buildDem (DSM-mesh)_cpu","max",345,19,49,NA,NA,6.1,15.5,1.9,122.8,7.9,122.3,122.8,4,120.5
"6","buildDem (DSM-mesh)_cpu","mean",82.8,15.8,41.5,NA,NA,4.93,13.2,0.98,122.8,3.05,119.77,122.8,2.97,119.87
"7","buildDem (DSM-ptcloud)_cpu","max",276,23,60,NA,NA,7.2,19,0.7,122.8,4.3,122.3,122.8,2.9,120.4
"8","buildDem (DSM-ptcloud)_cpu","mean",71.7,20.1,45.2,NA,NA,6.3,14.31,0.51,122.8,1.78,121.04,122.8,2.58,120.26
"9","buildDem (DTM-ptcloud)_cpu","max",259,24,62,NA,NA,7.6,19.7,0.8,122.8,5.3,122.4,122.8,2.9,120.5
"10","buildDem (DTM-ptcloud)_cpu","mean",62.1,19.1,47.4,NA,NA,6.01,15.04,0.55,122.8,2.13,120.71,122.8,2.54,120.31
"11","buildDepthMaps_cpu","max",22508,22,32,58,99,6.9,10.2,10.3,115.1,110.1,111.7,115.1,13.3,109.2
"12","buildDepthMaps_cpu","mean",4202.4,18.6,27.6,49.6,94.6,5.85,8.73,6.97,115.1,43.63,71.51,115.1,9.89,105.27
"13","buildModel_cpu","max",21932,57,99,NA,NA,18.3,31.5,23,122.8,109.5,118.2,122.8,25,116.7
"14","buildModel_cpu","mean",6979.3,49.4,94.3,NA,NA,15.87,30.11,15.6,122.8,37.19,85.64,122.8,17.64,105.19
"15","buildModel_gpu","max",19728,42,60,2,0,13.4,19,22.8,115.1,99.8,110.3,115.1,25.7,107.9
"16","buildModel_gpu","mean",5995.9,37.8,55.4,1,0,12.06,17.69,15.85,115.1,36.23,78.88,115.1,18.68,96.46
"17","buildOrthomosaic (dsm-mesh)_cpu","max",13388,34,65,NA,NA,10.8,20.6,17.9,122.8,118.4,117.2,122.8,20.1,117.3
"18","buildOrthomosaic (dsm-mesh)_cpu","mean",4070.8,27.4,59.6,NA,NA,8.65,18.98,11.12,122.8,68.28,54.55,122.8,13.17,109.67
"19","buildOrthomosaic (dsm-ptcloud)_cpu","max",14612,34,68,NA,NA,10.6,21.5,32.2,122.8,117.2,117.4,122.8,34.3,116.8
"20","buildOrthomosaic (dsm-ptcloud)_cpu","mean",5434.8,25.8,57.6,NA,NA,8.15,18.25,15.44,122.8,63.14,59.7,122.8,17.49,105.37
"21","buildPointCloud_cpu","max",10949,72,89,NA,NA,23,28.4,41.1,122.8,116.5,119,122.8,43.2,117.9
"22","buildPointCloud_cpu","mean",3030.5,61.1,80.1,NA,NA,19.41,25.59,18.85,122.8,47.92,74.89,122.8,20.88,101.97
"23","classifyGroundPoints_cpu","max",21912,97,100,NA,NA,30.9,32,17.1,122.8,92.9,120,122.8,19.3,119.7
"24","classifyGroundPoints_cpu","mean",3058.2,66.6,95.5,NA,NA,21.28,30.55,6.69,122.8,36.35,86.47,122.8,8.69,114.13
"25","exportCameras_cpu","max",1,28,28,NA,NA,9,9,2,122.8,3.8,122.5,122.8,4.1,120.6
"26","exportCameras_cpu","mean",0.1,11.6,11.7,NA,NA,3.63,3.66,1.15,122.8,1.86,120.96,122.8,3.09,119.75
"27","exportModel_cpu","max",37,8,15,NA,NA,2.7,4.8,10.7,122.8,106.2,119.4,122.8,12.8,118.1
"28","exportModel_cpu","mean",17,4.9,6,NA,NA,1.54,1.74,7.72,122.8,25.34,97.51,122.8,9.7,113.12
"29","exportModel_gpu","max",38,11,17,0,0,3.4,5.5,10.9,115.1,96.6,111.8,115.1,13.8,109.7
"30","exportModel_gpu","mean",17.1,5.4,7.1,0,0,1.63,1.96,7.82,115.1,26.38,88.76,115.1,10.63,104.55
"31","exportRaster (DSM-mesh)_cpu","max",23,11,18,NA,NA,3.4,5.8,1.4,122.8,7.5,122.4,122.8,3.5,120.6
"32","exportRaster (DSM-mesh)_cpu","mean",6.4,8.9,13.1,NA,NA,2.8,4.18,0.72,122.8,2.9,119.93,122.8,2.69,120.16
"33","exportRaster (DSM-ptcloud)_cpu","max",18,11,17,NA,NA,3.4,5.4,1,122.8,4.8,122.5,122.8,3.1,120.6
"34","exportRaster (DSM-ptcloud)_cpu","mean",6.5,8.5,12.5,NA,NA,2.61,3.97,0.59,122.8,1.9,120.94,122.8,2.57,120.28
"35","exportRaster (DTM-ptcloud)_cpu","max",18,15,17,NA,NA,4.9,5.6,1,122.8,5.9,122.4,122.8,3.1,120.6
"36","exportRaster (DTM-ptcloud)_cpu","mean",6.1,9.5,13.1,NA,NA,2.98,4.12,0.59,122.8,2.35,120.46,122.8,2.55,120.29
"37","exportRaster (ortho-dsm-mesh)_cpu","max",344,8,17,NA,NA,2.5,5.4,3.3,122.8,103.3,119.9,122.8,5.6,119.6
"38","exportRaster (ortho-dsm-mesh)_cpu","mean",100.6,7.8,14.1,NA,NA,2.36,4.41,2.03,122.8,43.23,79.62,122.8,4.08,118.75
"39","exportRaster (ortho-dsm-ptcloud)_cpu","max",258,9,17,NA,NA,2.7,5.3,2.6,122.8,113.2,120,122.8,4.8,119.8
"40","exportRaster (ortho-dsm-ptcloud)_cpu","mean",94,7.8,14.3,NA,NA,2.38,4.47,1.8,122.8,42.39,80.44,122.8,3.82,119
"41","exportReport_cpu","max",53,14,36,NA,NA,4.4,11.5,0.9,122.8,4.1,122.5,122.8,3,120.6
"42","exportReport_cpu","mean",18.6,9.4,16.4,NA,NA,2.86,5.11,0.49,122.8,1.75,121.08,122.8,2.56,120.27
"43","matchPhotos_cpu","max",7300,52,87,NA,NA,16.5,27.3,14.9,122.8,111.9,121.6,122.8,17,120.4
"44","matchPhotos_cpu","mean",1985.2,46.8,62.4,NA,NA,14.88,19.86,3.61,122.8,35.91,86.93,122.8,5.61,117.24
"45","matchPhotos_gpu","max",3958,10,30,16,84,2.9,9.6,15,115.1,99.7,113.8,115.1,17.8,111.6
"46","matchPhotos_gpu","mean",1121.1,8.5,25.7,12.3,49.3,2.58,8.04,3.65,115.1,34.86,80.27,115.1,6.45,108.69
"47","optimizeCameras_cpu","max",872,66,100,NA,NA,21.1,31.9,18.2,122.8,20,122.5,122.8,20.3,120.5
"48","optimizeCameras_cpu","mean",137.4,53,93.2,NA,NA,16.85,29.74,4.29,122.8,5.08,117.74,122.8,6.24,116.6
